policy_number,previous_policy_number,policy_renewal_indicator,portability_indicator,policy_status,policy_issuance_type,policy_classification,group_policy_classification,policy_issue_date,policy_start_date,policy_end_date,cancellation_termination_date,agent_id,sales_manager_id,member_id1,member_id2,member_id3,member_id4,member_id5,sum_insured,total_policy_premium,premium_installment_type,premium_paid_till_date,policy_porting_date,policy_inclusion_date,policy_inclusion_ind,number_of_insured,minimum_possible_si,susp_policy_ind,proposer_mobile_no,policy_procurement_area,previous_sum_insured,policy_renewal_date,prev_policy_expiry_date,intermediary_type,first_policy_number,product_uin,plan_name,product_cd
POL-10417,,N,N,IF,S,I,,2023-08-16,2023-08-17,2024-08-15,,AG1190,SM1037,MEMBER-009273,MEMBER-002762,MEMBER-009676,MEMBER-011918,,544649.34,40041.48,Y,40041.48,,,No,4,322514.78,No,9873563834,Urban,,,,IND,POL-10417,UIN-901,Plan A,CRITICAL_ILLNESS
POL-11478,,N,N,TM,S,I,,2023-04-28,2023-05-02,2024-04-30,2023-05-08,AG1176,SM1013,MEMBER-005402,MEMBER-004471,,,,2027656.55,173918.33,Q,130438.75,,,No,2,1292200.83,No,9088122048,Urban,,,,IND,POL-11478,UIN-776,Plan B,IND_HEALTH
POL-11662,,N,N,IF,S,I,,2024-03-23,2024-03-27,2025-03-26,,AG1120,SM1035,MEMBER-007463,MEMBER-001543,,,,593603.77,10597.55,Q,10597.55,,,No,2,347553.12,No,9944102652,Urban,,,,DIR,POL-11662,UIN-454,Plan B,GROUP_HEALTH
POL-41942,,N,N,IF,S,I,,2023-01-30,2023-02-04,2024-02-03,,AG1054,SM1038,MEMBER-012124,MEMBER-007887,MEMBER-012597,,,2338063.58,155298.85,Y,155298.85,,,No,3,1543542.11,No,9616576808,Rural,,,,IOC,POL-41942,UIN-773,Plan A,IND_HEALTH
POL-36292,,N,N,CP,U,I,,2023-09-23,2023-09-24,2024-09-22,2024-02-23,AG1061,SM1006,MEMBER-010291,MEMBER-007004,MEMBER-000982,MEMBER-003103,MEMBER-005651,1998839.65,97837.94,Y,97837.94,,,No,5,1270839.33,No,9047131624,Urban,,,,IND,POL-36292,UIN-167,Plan B,PERSONAL_ACCIDENT
POL-23186,,N,N,IF,S,G,E,2023-04-01,2023-04-05,2024-04-03,,AG1071,SM1044,MEMBER-003595,MEMBER-001537,,,,8008032.51,366865.8,Q,275149.35,,2023-09-04,Yes,2,5520803.1,No,9895340845,Rural,,,,DIR,POL-23186,UIN-783,Plan B,FAMILY_HEALTH_OPTIMA
POL-49827,POL-42342,Y,N,IF,U,I,,2023-05-08,2023-05-10,2024-05-08,,AG1154,SM1016,MEMBER-007473,,,,,1566676.17,73347.4,Y,73347.4,,,No,1,812744.93,No,9495800042,Rural,1854668.89,2023-05-10,2023-05-09,IND,POL-42342,UIN-230,Plan C,IND_HEALTH
POL-33868,,N,N,IF,S,I,,2023-10-12,2023-10-15,2024-10-13,,AG1118,SM1019,MEMBER-013767,MEMBER-012892,MEMBER-014822,,,1749134.44,115773.77,Q,57886.89,,,No,3,890258.52,No,9015210822,Urban,,,,ORG,POL-33868,UIN-962,Plan B,IND_HEALTH
POL-29268,,N,N,IF,U,I,,2024-07-19,2024-07-19,2025-07-18,,AG1146,SM1006,MEMBER-011457,,,,,2163777.69,134639.86,Y,134639.86,,2024-09-18,Yes,1,1681794.78,No,9265829685,Rural,,,,IND,POL-29268,UIN-313,Plan A,TERM_LIFE
POL-35393,,N,N,IF,S,I,,2023-12-19,2023-12-19,2024-12-17,,AG1190,SM1040,MEMBER-011053,,,,,2435049.5,136499.14,Y,136499.14,,,No,1,1823299.1,No,9194306600,Rural,,,,IND,POL-35393,UIN-405,Plan C,CRITICAL_ILLNESS
POL-32921,,N,N,IF,S,I,,2024-03-23,2024-03-24,2025-03-23,,AG1149,SM1016,MEMBER-011941,MEMBER-007041,MEMBER-010454,,,369328.92,12852.1,Q,9639.08,,,No,3,258780.5,No,9597247892,Urban,,,,IND,POL-32921,UIN-531,Plan C,FAMILY_HEALTH_OPTIMA
POL-11614,,N,N,IF,S,I,,2024-03-02,2024-03-05,2025-03-04,,AG1019,SM1040,MEMBER-013594,,,,,901127.74,53365.73,Q,13341.43,,,No,1,477813.63,No,9453118775,Rural,,,,IND,POL-11614,UIN-981,Plan C,PERSONAL_ACCIDENT
POL-32984,,N,N,IF,S,I,,2024-03-11,2024-03-14,2025-03-13,,AG1065,SM1011,MEMBER-007463,MEMBER-006443,,,,602422.83,38386.78,Y,38386.78,,2024-12-26,Yes,2,439057.93,No,9048354319,Rural,,,,IND,POL-32984,UIN-531,Plan A,GROUP_HEALTH
POL-19143,,N,N,IF,S,I,,2023-05-07,2023-05-07,2024-05-05,,AG1112,SM1002,MEMBER-014597,MEMBER-000099,MEMBER-010911,,,1803460.63,157101.97,Y,157101.97,,,No,3,1111056.08,No,9601830380,Urban,,,,IND,POL-19143,UIN-534,Plan A,CRITICAL_ILLNESS
POL-16229,POL-42441,N,Y,IF,S,I,,2023-06-30,2023-07-04,2024-07-02,,AG1152,SM1026,MEMBER-013624,MEMBER-008544,MEMBER-014416,,,1346343.18,107103.11,Y,107103.11,2023-07-04,,No,3,895226.64,No,9715670221,Rural,1055457.65,,2023-07-03,DIR,POL-42441,UIN-244,Plan C,IND_HEALTH
POL-34572,,N,N,IF,S,I,,2024-01-19,2024-01-21,2025-01-19,,AG1079,SM1029,MEMBER-010751,MEMBER-011572,MEMBER-006715,MEMBER-013682,,2435897.57,74953.64,Q,37476.82,,,No,4,1375753.21,No,9019759382,Rural,,,,IOC,POL-34572,UIN-214,Plan A,TERM_LIFE
POL-13315,POL-36960,Y,N,IF,S,I,,2024-06-28,2024-07-02,2025-07-01,,AG1148,SM1037,MEMBER-013199,MEMBER-008140,MEMBER-014188,,,274609.37,3870.08,Y,3870.08,,,No,3,212801.7,No,9927206950,Rural,244055.25,2024-07-02,2024-07-01,IND,POL-36960,UIN-227,Plan C,GROUP_HEALTH
POL-31319,,N,N,IF,S,I,,2023-12-17,2023-12-17,2024-12-15,,AG1110,SM1049,MEMBER-007375,,,,,1918572.66,96069.84,H,48034.92,,,No,1,988013.0,No,9638193834,Urban,,,,DIR,POL-31319,UIN-163,Plan A,IND_HEALTH
POL-32813,,N,N,IF,U,I,,2023-12-03,2023-12-03,2024-12-01,,AG1106,SM1047,MEMBER-000015,MEMBER-011748,MEMBER-006159,MEMBER-001243,,561929.9,22107.11,H,11053.56,,,No,4,367261.34,No,9028010404,Rural,,,,IND,POL-32813,UIN-169,Plan C,IND_HEALTH
POL-23647,,N,N,IF,S,I,,2023-05-18,2023-05-19,2024-05-17,,AG1136,SM1025,MEMBER-013230,,,,,827283.52,20286.75,Q,5071.69,,,No,1,501372.75,No,9191263514,Urban,,,,ORG,POL-23647,UIN-937,Plan A,PERSONAL_ACCIDENT
POL-41283,,N,N,IF,S,I,,2023-12-14,2023-12-18,2024-12-16,,AG1154,SM1010,MEMBER-014035,MEMBER-005943,MEMBER-003816,MEMBER-002704,,2096535.18,172743.06,H,172743.06,,,No,4,1471113.79,No,9942648493,Urban,,,,ORG,POL-41283,UIN-681,Plan A,FAMILY_HEALTH_OPTIMA
POL-41397,POL-34432,N,Y,CP,U,I,,2023-05-12,2023-05-15,2024-05-13,2024-03-07,AG1023,SM1043,MEMBER-012532,MEMBER-008005,MEMBER-003949,MEMBER-002548,MEMBER-005393,1137875.23,65009.09,M,32504.54,2023-05-15,,No,5,722375.89,No,9054930246,Rural,840413.96,,2023-05-14,IND,POL-34432,UIN-948,Plan B,CRITICAL_ILLNESS
POL-39586,,N,N,IF,S,I,,2024-05-09,2024-05-12,2025-05-11,,AG1001,SM1010,MEMBER-007137,MEMBER-009480,,,,2434999.06,205620.31,Y,205620.31,,,No,2,1535968.63,No,9050710670,Rural,,,,IND,POL-39586,UIN-165,Plan A,PERSONAL_ACCIDENT
POL-16892,POL-13315,Y,N,IF,S,G,E,2024-06-09,2024-06-09,2025-06-08,,AG1167,SM1005,MEMBER-008832,MEMBER-001634,,,,1331891.57,103269.67,Y,103269.67,,2025-01-22,Yes,2,1007745.75,No,9939002108,Urban,1034505.66,2024-06-09,2024-06-08,DIR,POL-13315,UIN-348,Plan C,PERSONAL_ACCIDENT
POL-17751,,N,N,CP,U,G,N,2024-01-04,2024-01-09,2025-01-07,2024-03-01,AG1022,SM1024,MEMBER-004984,MEMBER-008975,MEMBER-008002,,,6016254.67,361214.54,H,180607.27,,,No,3,4518014.16,Yes,9066352295,Rural,,,,IND,POL-17751,UIN-821,Plan C,CRITICAL_ILLNESS
POL-11954,,N,N,IF,S,I,,2023-09-05,2023-09-07,2024-09-05,,AG1053,SM1011,MEMBER-004222,MEMBER-008058,MEMBER-006386,MEMBER-010467,MEMBER-013220,2106865.05,91410.49,H,91410.49,,2023-10-11,Yes,5,1313847.26,No,9805800930,Rural,,,,IND,POL-11954,UIN-212,Plan C,TERM_LIFE
POL-23040,,N,N,IF,S,I,,2024-07-22,2024-07-26,2025-07-25,,AG1164,SM1036,MEMBER-014555,MEMBER-003108,MEMBER-005128,MEMBER-002330,,2492223.46,221637.18,Y,221637.18,,,No,4,1474342.09,No,9498972249,Urban,,,,IND,POL-23040,UIN-802,Plan A,TERM_LIFE
POL-24227,,N,N,IF,S,G,N,2023-05-24,2023-05-27,2024-05-25,,AG1119,SM1043,MEMBER-005685,MEMBER-014175,,,,6965328.14,262535.81,Y,262535.81,,,No,2,3827941.52,No,9231498413,Urban,,,,IND,POL-24227,UIN-656,Plan C,GROUP_HEALTH
POL-43085,,N,N,IF,S,I,,2023-02-17,2023-02-18,2024-02-17,,AG1134,SM1025,MEMBER-011451,MEMBER-005818,,,,331807.45,21168.76,Y,21168.76,,,No,2,203185.93,No,9550962410,Rural,,,,IND,POL-43085,UIN-508,Plan B,FAMILY_HEALTH_OPTIMA
POL-20136,POL-46371,N,Y,IF,S,I,,2024-03-24,2024-03-27,2025-03-26,,AG1075,SM1022,MEMBER-010269,MEMBER-002333,MEMBER-000118,MEMBER-005330,,447696.15,19770.52,Q,9885.26,2024-03-27,,No,4,225201.58,No,9888303260,Urban,374872.58,,2024-03-26,IND,POL-46371,UIN-228,Plan A,GROUP_HEALTH
POL-27522,POL-31534,Y,N,IF,U,I,,2023-12-16,2023-12-16,2024-12-14,,AG1051,SM1001,MEMBER-012834,MEMBER-013297,,,,2459857.47,209067.43,Y,209067.43,,,No,2,1492992.01,No,9676931823,Rural,1758305.5,2023-12-16,2023-12-15,ORG,POL-31534,UIN-938,Plan B,GROUP_HEALTH
POL-30268,,N,N,IF,S,I,,2024-03-25,2024-03-25,2025-03-24,,AG1128,SM1038,MEMBER-009011,MEMBER-004328,MEMBER-007272,MEMBER-007424,MEMBER-007570,784198.7,15972.4,H,15972.4,,,No,5,484754.8,No,9258366858,Urban,,,,ORG,POL-30268,UIN-538,Plan B,TERM_LIFE
POL-49078,,N,N,IF,S,G,E,2023-01-25,2023-01-28,2024-01-27,,AG1049,SM1037,MEMBER-012554,,,,,6637884.78,648642.8,H,324321.4,,,No,1,4746865.88,No,9493006715,Rural,,,,IND,POL-49078,UIN-231,Plan B,CRITICAL_ILLNESS
POL-10617,POL-31393,Y,N,IF,S,I,,2024-04-06,2024-04-11,2025-04-10,,AG1044,SM1044,MEMBER-001300,MEMBER-010031,MEMBER-006647,MEMBER-009927,MEMBER-010649,1889328.27,174084.41,H,174084.41,,,No,5,1175537.18,No,9095509710,Rural,2229503.03,2024-04-11,2024-04-10,ORG,POL-31393,UIN-888,Plan C,IND_HEALTH
POL-46092,POL-31167,Y,N,IF,S,I,,2024-07-30,2024-07-30,2025-07-29,,AG1088,SM1023,MEMBER-010383,,,,,1224263.69,117954.24,Y,117954.24,,,No,1,927638.07,No,9189943904,Urban,1057735.65,2024-07-30,2024-07-29,ORG,POL-31167,UIN-139,Plan A,GROUP_HEALTH
POL-40863,,N,N,IF,U,I,,2023-03-19,2023-03-20,2024-03-18,,AG1042,SM1035,MEMBER-002057,,,,,1151705.25,52320.92,Y,52320.92,,,No,1,769871.25,No,9080592090,Rural,,,,ORG,POL-40863,UIN-559,Plan A,CRITICAL_ILLNESS
POL-22610,,N,N,CP,S,I,,2024-01-26,2024-01-27,2025-01-25,2024-11-17,AG1022,SM1041,MEMBER-012276,MEMBER-013747,MEMBER-004636,MEMBER-013899,,1149261.98,74651.41,Y,74651.41,,,No,4,625109.71,No,9357245460,Urban,,,,IND,POL-22610,UIN-850,Plan B,GROUP_HEALTH
POL-42294,,N,N,IF,U,I,,2024-07-26,2024-07-28,2025-07-27,,AG1048,SM1035,MEMBER-000245,MEMBER-013195,MEMBER-001360,MEMBER-006215,MEMBER-004371,1618747.33,135655.66,Y,135655.66,,,No,5,1195894.25,No,9547513255,Rural,,,,IND,POL-42294,UIN-555,Plan A,GROUP_HEALTH
POL-25272,POL-11253,Y,N,IF,S,I,,2024-01-17,2024-01-20,2025-01-18,,AG1074,SM1027,MEMBER-000365,,,,,249076.16,7946.21,Q,3973.11,,,No,1,161144.08,No,9805080535,Urban,188285.54,2024-01-20,2024-01-19,IND,POL-11253,UIN-691,Plan A,CRITICAL_ILLNESS
POL-31348,,N,N,IF,U,I,,2024-07-01,2024-07-04,2025-07-03,,AG1191,SM1023,MEMBER-012767,,,,,1091965.84,83104.3,Y,83104.3,,,No,1,679188.2,No,9411514197,Urban,,,,ORG,POL-31348,UIN-624,Plan B,GROUP_HEALTH
POL-17456,,N,N,IF,S,I,,2023-01-30,2023-01-31,2024-01-30,,AG1014,SM1036,MEMBER-002206,MEMBER-008122,,,,171746.84,13072.42,Q,13072.42,,,No,2,95743.09,No,9376598065,Rural,,,,IND,POL-17456,UIN-803,Plan C,CRITICAL_ILLNESS
POL-28193,,N,N,IF,S,I,,2024-01-26,2024-01-29,2025-01-27,,AG1104,SM1008,MEMBER-014766,,,,,979391.25,24368.84,Y,24368.84,,,No,1,616370.23,No,9398061617,Rural,,,,IND,POL-28193,UIN-968,Plan A,GROUP_HEALTH
POL-39752,,N,N,IF,S,I,,2023-07-16,2023-07-17,2024-07-15,,AG1189,SM1020,MEMBER-000157,MEMBER-012661,,,,905587.53,50747.96,H,25373.98,,,No,2,711709.3,No,9252093465,Urban,,,,IND,POL-39752,UIN-262,Plan C,IND_HEALTH
POL-43054,,N,N,IF,S,I,,2024-01-22,2024-01-27,2025-01-25,,AG1082,SM1032,MEMBER-005715,MEMBER-013639,MEMBER-007292,,,1682710.3,126823.95,Y,126823.95,,,No,3,1182580.08,No,9975223502,Rural,,,,ORG,POL-43054,UIN-162,Plan C,CRITICAL_ILLNESS
POL-21042,POL-37338,N,Y,IF,S,I,,2024-08-06,2024-08-10,2025-08-09,,AG1017,SM1046,MEMBER-000882,,,,,764738.08,57106.17,Q,14276.54,2024-08-10,,No,1,448698.53,No,9720511764,Urban,915991.6,,2024-08-09,IND,POL-37338,UIN-470,Plan A,CRITICAL_ILLNESS
POL-12882,POL-13929,Y,N,IF,S,I,,2023-09-14,2023-09-15,2024-09-13,,AG1058,SM1019,MEMBER-003466,MEMBER-006333,MEMBER-000365,,,913531.41,21973.26,M,3662.21,,,No,3,612513.85,No,9575464880,Urban,727651.37,2023-09-15,2023-09-14,IND,POL-13929,UIN-131,Plan A,TERM_LIFE
POL-29633,,N,N,IF,S,I,,2023-02-04,2023-02-09,2024-02-08,,AG1067,SM1026,MEMBER-006668,,,,,953992.0,36299.87,H,36299.87,,,No,1,575139.27,No,9055953642,Urban,,,,IND,POL-29633,UIN-174,Plan B,CRITICAL_ILLNESS
POL-34460,,N,N,IF,S,I,,2023-08-28,2023-09-02,2024-08-31,,AG1170,SM1031,MEMBER-014264,MEMBER-014796,MEMBER-000001,,,1633163.43,100938.55,Y,100938.55,,,No,3,928119.31,No,9151728142,Rural,,,,ORG,POL-34460,UIN-770,Plan B,CRITICAL_ILLNESS
POL-11893,,N,N,IF,S,I,,2024-05-17,2024-05-21,2025-05-20,,AG1098,SM1020,MEMBER-010508,MEMBER-010267,MEMBER-005679,MEMBER-014982,,646507.11,41292.77,H,20646.38,,,No,4,411815.31,No,9897158351,Rural,,,,ORG,POL-11893,UIN-676,Plan A,IND_HEALTH
POL-24912,POL-45574,Y,N,IF,S,I,,2023-07-10,2023-07-13,2024-07-11,,AG1191,SM1011,MEMBER-009934,,,,,343667.41,11606.84,Q,8705.13,,,No,1,194485.68,No,9177869970,Urban,400686.54,2023-07-13,2023-07-12,DIR,POL-45574,UIN-579,Plan A,FAMILY_HEALTH_OPTIMA
POL-19691,,N,N,IF,S,I,,2023-06-19,2023-06-20,2024-06-18,,AG1192,SM1023,MEMBER-004668,MEMBER-000458,MEMBER-001108,MEMBER-004124,,1874155.67,181889.47,Y,181889.47,,,No,4,995769.51,No,9492915634,Urban,,,,SPP,POL-19691,UIN-344,Plan A,TERM_LIFE
POL-28061,,N,N,IF,S,I,,2023-04-08,2023-04-09,2024-04-07,,AG1003,SM1008,MEMBER-011588,MEMBER-009933,MEMBER-005859,,,1898276.62,144646.43,M,120538.69,,,No,3,1278415.47,No,9664893608,Urban,,,,ORG,POL-28061,UIN-545,Plan B,TERM_LIFE
POL-26671,POL-25310,Y,N,TM,U,I,,2023-08-29,2023-08-31,2024-08-29,2024-03-18,AG1061,SM1024,MEMBER-009200,MEMBER-009117,MEMBER-009911,MEMBER-001455,,1898256.42,135035.92,Y,135035.92,,2024-04-13,Yes,4,1460380.53,No,9084371286,Rural,1422433.74,2023-08-31,2023-08-30,IND,POL-25310,UIN-307,Plan C,FAMILY_HEALTH_OPTIMA
POL-32196,,N,N,IF,S,G,E,2023-02-12,2023-02-15,2024-02-14,,AG1043,SM1049,MEMBER-010167,MEMBER-014084,,,,3352592.1,236593.2,Q,177444.9,,,No,2,2334930.5,No,9426443156,Urban,,,,IOC,POL-32196,UIN-966,Plan B,FAMILY_HEALTH_OPTIMA
POL-46909,,N,N,IF,U,I,,2024-06-25,2024-06-25,2025-06-24,,AG1193,SM1037,MEMBER-003641,MEMBER-010113,,,,512620.67,26553.14,Q,26553.14,,2025-01-29,Yes,2,286680.62,No,9175684685,Rural,,,,ORG,POL-46909,UIN-629,Plan B,TERM_LIFE
POL-11527,,N,N,IF,S,I,,2023-10-25,2023-10-28,2024-10-26,,AG1104,SM1028,MEMBER-003025,,,,,2225034.35,124712.17,Y,124712.17,,,No,1,1561041.11,No,9750620745,Rural,,,,IND,POL-11527,UIN-980,Plan C,TERM_LIFE
POL-45135,,N,N,IF,S,I,,2024-04-25,2024-04-26,2025-04-25,,AG1107,SM1045,MEMBER-003022,MEMBER-013227,MEMBER-006829,MEMBER-000536,,895218.71,51569.73,Y,51569.73,,,No,4,687588.11,No,9681125568,Rural,,,,IOC,POL-45135,UIN-521,Plan B,CRITICAL_ILLNESS
POL-26250,,N,N,IF,U,I,,2023-03-22,2023-03-26,2024-03-24,,AG1079,SM1042,MEMBER-001262,MEMBER-001126,MEMBER-001796,MEMBER-014293,,2164306.23,70654.12,Y,70654.12,,,No,4,1152576.81,No,9342144013,Urban,,,,IND,POL-26250,UIN-527,Plan C,PERSONAL_ACCIDENT
POL-39725,,N,N,CP,S,I,,2023-08-17,2023-08-18,2024-08-16,2023-12-09,AG1148,SM1019,MEMBER-002684,MEMBER-008834,,,,1212252.67,118291.81,M,88718.86,,,No,2,823532.64,No,9376087419,Rural,,,,IND,POL-39725,UIN-685,Plan C,TERM_LIFE
POL-27826,,N,N,IF,U,I,,2023-07-10,2023-07-15,2024-07-13,,AG1047,SM1003,MEMBER-004074,MEMBER-004046,,,,1175684.12,113622.77,Q,28405.69,,,No,2,647590.06,No,9108182308,Rural,,,,ORG,POL-27826,UIN-572,Plan B,PERSONAL_ACCIDENT
POL-27714,,N,N,IF,S,G,E,2024-01-29,2024-02-01,2025-01-30,,AG1031,SM1005,MEMBER-013416,MEMBER-001565,,,,8471710.19,736194.26,Y,736194.26,,,No,2,5036679.05,No,9097081405,Rural,,,,IND,POL-27714,UIN-854,Plan B,TERM_LIFE
POL-33070,,N,N,IF,S,I,,2023-06-10,2023-06-10,2024-06-08,,AG1047,SM1013,MEMBER-003192,MEMBER-005985,MEMBER-006640,MEMBER-004441,MEMBER-007923,1594380.25,72212.96,H,36106.48,,,No,5,1267642.44,No,9604275769,Urban,,,,ORG,POL-33070,UIN-216,Plan B,GROUP_HEALTH
POL-26500,,N,N,IF,S,I,,2023-07-10,2023-07-15,2024-07-13,,AG1106,SM1032,MEMBER-007663,MEMBER-010498,MEMBER-011450,,,2401210.12,106310.83,Q,79733.12,,,No,3,1350926.67,No,9430388274,Urban,,,,IND,POL-26500,UIN-208,Plan B,TERM_LIFE
POL-42969,,N,N,IF,S,I,,2023-02-18,2023-02-20,2024-02-19,,AG1146,SM1049,MEMBER-005994,MEMBER-003205,MEMBER-007726,MEMBER-011689,MEMBER-009844,1934012.14,140587.8,Y,140587.8,,,No,5,1405363.5,No,9877766928,Urban,,,,IND,POL-42969,UIN-468,Plan B,GROUP_HEALTH
POL-48809,POL-13963,N,Y,IF,U,I,,2023-12-28,2023-12-30,2024-12-28,,AG1163,SM1044,MEMBER-013249,MEMBER-013225,MEMBER-004471,MEMBER-010683,,539696.17,11036.12,Q,2759.03,2023-12-30,,No,4,271638.69,No,9511940197,Rural,499022.24,,2023-12-29,DIR,POL-13963,UIN-854,Plan A,GROUP_HEALTH
POL-24701,,N,N,IF,S,I,,2024-01-20,2024-01-21,2025-01-19,,AG1076,SM1038,MEMBER-012627,MEMBER-010418,MEMBER-014111,,,2048949.48,65946.12,H,65946.12,,,No,3,1464943.82,No,9566835211,Urban,,,,IND,POL-24701,UIN-382,Plan C,CRITICAL_ILLNESS
POL-33862,,N,N,IF,S,I,,2023-08-24,2023-08-25,2024-08-23,,AG1046,SM1025,MEMBER-013561,MEMBER-007037,MEMBER-004929,MEMBER-011229,,998423.94,78828.86,M,78828.86,,2023-11-13,Yes,4,525749.98,No,9401848047,Rural,,,,IND,POL-33862,UIN-112,Plan B,FAMILY_HEALTH_OPTIMA
POL-40048,,N,N,IF,S,I,,2024-05-12,2024-05-14,2025-05-13,,AG1083,SM1038,MEMBER-006847,MEMBER-000331,MEMBER-009265,,,1223008.32,72254.61,H,72254.61,,,No,3,777593.56,No,9202640653,Urban,,,,IND,POL-40048,UIN-646,Plan A,TERM_LIFE
POL-36291,POL-11773,N,Y,IF,S,I,,2023-06-30,2023-07-05,2024-07-03,,AG1184,SM1005,MEMBER-013972,MEMBER-013656,,,,1120367.26,84225.25,H,42112.62,2023-07-05,,No,2,835227.95,No,9927821353,Urban,1223987.81,,2023-07-04,DIR,POL-11773,UIN-795,Plan B,CRITICAL_ILLNESS
POL-22108,,N,N,IF,S,I,,2023-02-06,2023-02-10,2024-02-09,,AG1056,SM1049,MEMBER-008963,MEMBER-002949,MEMBER-006157,MEMBER-001184,,1495521.78,59354.22,Y,59354.22,,,No,4,980622.64,No,9808840689,Urban,,,,DIR,POL-22108,UIN-345,Plan C,IND_HEALTH
POL-46059,,N,N,IF,U,I,,2024-08-03,2024-08-04,2025-08-03,,AG1185,SM1015,MEMBER-010265,MEMBER-013188,,,,171795.59,9630.19,H,4815.1,,2025-05-26,Yes,2,108872.23,No,9055407613,Urban,,,,IND,POL-46059,UIN-543,Plan C,PERSONAL_ACCIDENT
POL-11758,,N,N,IF,S,I,,2024-01-09,2024-01-10,2025-01-08,,AG1174,SM1049,MEMBER-012627,,,,,2328659.93,101562.65,Y,101562.65,,,No,1,1207298.72,No,9093077152,Urban,,,,IND,POL-11758,UIN-258,Plan C,GROUP_HEALTH
POL-36506,,N,N,TM,S,I,,2024-06-21,2024-06-21,2025-06-20,2025-02-05,AG1012,SM1008,MEMBER-005578,MEMBER-012559,MEMBER-001005,MEMBER-001917,,521080.42,25504.59,Q,19128.44,,,No,4,329041.84,No,9887888114,Urban,,,,IND,POL-36506,UIN-900,Plan A,GROUP_HEALTH
POL-44462,POL-28960,N,Y,IF,U,I,,2023-06-21,2023-06-22,2024-06-20,,AG1106,SM1008,MEMBER-009949,MEMBER-009425,MEMBER-006180,,,167763.32,10951.51,Y,10951.51,2023-06-22,,No,3,90116.24,No,9138003693,Urban,123323.94,,2023-06-21,DIR,POL-28960,UIN-616,Plan C,PERSONAL_ACCIDENT
POL-32061,POL-20807,N,Y,IF,U,I,,2024-04-26,2024-05-01,2025-04-30,,AG1040,SM1026,MEMBER-014736,MEMBER-012779,MEMBER-003519,,,2291000.71,150198.8,Y,150198.8,2024-05-01,,No,3,1428294.91,No,9303671387,Urban,2124329.34,,2024-04-30,ORG,POL-20807,UIN-584,Plan C,CRITICAL_ILLNESS
POL-11974,POL-40118,Y,N,IF,U,I,,2024-07-15,2024-07-16,2025-07-15,,AG1124,SM1017,MEMBER-011868,,,,,277996.52,11421.98,Q,5710.99,,2024-12-10,Yes,1,171204.25,No,9421505987,Urban,311832.66,2024-07-16,2024-07-15,IND,POL-40118,UIN-312,Plan A,PERSONAL_ACCIDENT
POL-34919,,N,N,IF,U,I,,2023-02-01,2023-02-02,2024-02-01,,AG1055,SM1016,MEMBER-006105,MEMBER-006140,,,,550488.14,25623.8,Q,6405.95,,,No,2,404007.99,No,9144767851,Rural,,,,ORG,POL-34919,UIN-185,Plan B,CRITICAL_ILLNESS
POL-14560,,N,N,IF,S,I,,2023-05-22,2023-05-25,2024-05-23,,AG1033,SM1004,MEMBER-001648,,,,,350267.56,23381.04,Y,23381.04,,,No,1,208308.48,No,9376633528,Urban,,,,IND,POL-14560,UIN-500,Plan A,GROUP_HEALTH
POL-33570,,N,N,IF,U,I,,2023-01-01,2023-01-03,2024-01-02,,AG1121,SM1032,MEMBER-005547,MEMBER-014748,MEMBER-014732,MEMBER-012778,,1715367.32,120280.36,H,60140.18,,2023-10-15,Yes,4,1323312.45,No,9670417577,Urban,,,,IND,POL-33570,UIN-218,Plan B,CRITICAL_ILLNESS
POL-22470,,N,N,IF,S,I,,2024-02-15,2024-02-16,2025-02-14,,AG1186,SM1007,MEMBER-009581,MEMBER-005181,,,,2106062.34,142532.36,M,142532.36,,,No,2,1474427.68,No,9486232899,Urban,,,,DIR,POL-22470,UIN-128,Plan B,CRITICAL_ILLNESS
POL-15090,POL-12816,Y,N,IF,S,I,,2024-06-11,2024-06-15,2025-06-14,,AG1180,SM1000,MEMBER-005956,MEMBER-008155,MEMBER-005173,,,1781463.63,64558.12,Y,64558.12,,,No,3,1163460.56,No,9511820665,Rural,1412471.47,2024-06-15,2024-06-14,ORG,POL-12816,UIN-822,Plan B,FAMILY_HEALTH_OPTIMA
POL-39967,,N,N,XP,U,I,,2023-11-05,2023-11-06,2024-11-04,,AG1185,SM1000,MEMBER-011865,MEMBER-001856,MEMBER-005837,MEMBER-003453,MEMBER-014622,1028328.83,53891.79,Q,40418.84,,,No,5,653296.55,No,9016274432,Rural,,,,IND,POL-39967,UIN-599,Plan C,PERSONAL_ACCIDENT
POL-26997,POL-16341,N,Y,IF,S,I,,2023-10-20,2023-10-24,2024-10-22,,AG1086,SM1020,MEMBER-014579,MEMBER-009846,MEMBER-005162,,,955601.54,39925.27,H,39925.27,2023-10-24,2024-01-23,Yes,3,550304.47,No,9365308762,Urban,963494.68,,2023-10-23,DIR,POL-16341,UIN-366,Plan B,PERSONAL_ACCIDENT
POL-30516,,N,N,IF,U,I,,2024-04-20,2024-04-21,2025-04-20,,AG1132,SM1017,MEMBER-012621,MEMBER-006073,MEMBER-008184,,,2307778.75,75167.42,Y,75167.42,,,No,3,1617749.67,No,9843096002,Urban,,,,IND,POL-30516,UIN-588,Plan B,TERM_LIFE
